triplet,outgroup,C1,C2,mixprop1,mixprop2,lambda2Dist,lambda1Dist,BIC2Dist,BIC1Dist,count
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Freycinetia_multiflora_ERR2040706,Freycinetia_multiflora_ERR2040706,0.0,2.3399570459088634,2.5456551275404014e-17,1.0,0.023662699320403054,0.06325126075601374,-1321.542974946636,-1019.0192839997943,291
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Pandanus_amaryllifolius_SRR13452149,Stemona_collinsiae_SRR15465044,0,0,0,0,0,0,0,0,1
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Pandanus_amaryllifolius_SRR13452149,Croomia_heterosepala_SRR6220063,0,0,0,0,0,0,0,0,0
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Pandanus_amaryllifolius_SRR13452149,Pandanus_amaryllifolius_SRR13452149,0.0,2.336266069806969,5.723341860985157e-17,1.0,0.023901087603696466,0.06365898872852233,-1315.378526781695,-1015.2796570208762,291
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Pandanus_utilis_SRR6374687,Stemona_collinsiae_SRR15465044,0,0,0,0,0,0,0,0,1
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Pandanus_utilis_SRR6374687,Croomia_heterosepala_SRR6220063,0,0,0,0,0,0,0,0,0
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Pandanus_utilis_SRR6374687,Pandanus_utilis_SRR6374687,0.0,2.357527151122811,6.740031132422178e-17,1.0,0.02381905123478884,0.06372692697594502,-1315.0577834391092,-1014.6588652554728,291
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Pandanus_odorifer_SRR5927127,Stemona_collinsiae_SRR15465044,0,0,0,0,0,0,0,0,1
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Pandanus_odorifer_SRR5927127,Croomia_heterosepala_SRR6220063,0,0,0,0,0,0,0,0,0
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Pandanus_odorifer_SRR5927127,Pandanus_odorifer_SRR5927127,0.0,2.362425085163842,3.6829528156353484e-17,1.0,0.023769668021496448,0.0637203058419244,-1316.2200398025818,-1014.7193373413431,291
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Pandanus_tectorius_SRR19179847,Stemona_collinsiae_SRR15465044,0,0,0,0,0,0,0,0,1
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Pandanus_tectorius_SRR19179847,Croomia_heterosepala_SRR6220063,0,0,0,0,0,0,0,0,0
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Pandanus_tectorius_SRR19179847,Pandanus_tectorius_SRR19179847,0.0,2.3319076717518095,6.166756016328554e-17,1.0,0.023945759378222548,0.06365394412371134,-1314.654760291734,-1015.3257789652182,291
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Acanthochlamys_bracteata_GCA_019914995,Stemona_collinsiae_SRR15465044,0,0,0,0,0,0,0,0,0
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Acanthochlamys_bracteata_GCA_019914995,Croomia_heterosepala_SRR6220063,0,0,0,0,0,0,0,0,1
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Acanthochlamys_bracteata_GCA_019914995,Acanthochlamys_bracteata_GCA_019914995,0.0,2.2926633404577292,3.455289997506727e-14,0.9999999999999655,0.035119687474012076,0.0918761275395189,-1091.6496363267627,-801.743453242367,291
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Xerophyta_humilis_SRR8334914,Stemona_collinsiae_SRR15465044,0,0,0,0,0,0,0,0,0
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Xerophyta_humilis_SRR8334914,Croomia_heterosepala_SRR6220063,0,0,0,0,0,0,0,0,1
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Xerophyta_humilis_SRR8334914,Xerophyta_humilis_SRR8334914,0.0,2.2926633404577292,3.455289997506727e-14,0.9999999999999655,0.035119687474012076,0.0918761275395189,-1091.6496363267627,-801.743453242367,291
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Talbotia_elegans_SRR19179852,Stemona_collinsiae_SRR15465044,0,0,0,0,0,0,0,0,0
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Talbotia_elegans_SRR19179852,Croomia_heterosepala_SRR6220063,0,0,0,0,0,0,0,0,1
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Talbotia_elegans_SRR19179852,Talbotia_elegans_SRR19179852,0.0,2.2926633404577292,3.455289997506727e-14,0.9999999999999655,0.035119687474012076,0.0918761275395189,-1091.6496363267627,-801.743453242367,291
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Xerophyta_villosa_ERR2040709,Stemona_collinsiae_SRR15465044,0,0,0,0,0,0,0,0,0
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Xerophyta_villosa_ERR2040709,Croomia_heterosepala_SRR6220063,0,0,0,0,0,0,0,0,1
